dataset,format,recovered_name,recovered_sha256,recovered_size,gt_match,match_method,functional_level,functional_score,failure_reason,header_check
C,PDF,carved_0001.pdf,59832efa03040260b3c7d1d9369dbe9b4d3b250186bf6b64f3982e269ac8f9e6,480667,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0002.pdf,5799d36ab7dbde05720bf9152ddada73becd0c84a9170b0b0ce3984cb6ebe372,458351,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0003.pdf,82ebeb1305e3bcd79a13253ea53feba0544d829fbe8650aed4a5e5e1862ac21d,321714,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0004.pdf,3a4896fa5ec754523d9d79d0f8b7caf838b65aebc5d1da8c4e76b8104154c0c7,306333,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0005.pdf,0301504ea5d18e06396bb98a70dc7c4ab6b02dbe93dfcf9a464337a4d392167c,415175,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0006.pdf,f7fe4c20ce38bbc39cbc8071e1e490d9c4e488ce247bd2d61072677b0ae54fad,184957,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0007.pdf,15946228d4ce91e1d7ef84b238ca4aa5b3b3da8a53867720aa39c5197152063c,373574,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0008.pdf,92c68d96056723a84393e3a1abb2e8c623f65ad72364098470a664c8607a1e3f,410961,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0009.pdf,a0d01bd6b7cfb2fe11360b3c00ec197bc3eb1ce54a04fba76248f88978d30abf,143063,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0010.pdf,567adf26319dd031bd53d75453ddead12b71412b35df062cdfe46b8edee3bc55,475343,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0011.pdf,217a79076cb96205264a2eadf21ad5d79e1245d8d65663de90ead176ca40333f,152498,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0012.pdf,bcb8d6ac2008c407bcd47890bc6ef01b3a8ddd30fc3f69edd93432c0f403e4c6,383545,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0013.pdf,ce6cc96cd895148393a9196afdf922a145639fde6b1a6fe508105b93c6edf257,96836,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0014.pdf,b86b06a344e466e394fa982c53dd630f008bdd64ea9fe72d08379b8a635caa26,435962,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
C,PDF,carved_0015.pdf,10f1db3449924d94eb665e0f3b7aeb2a6b7c2f5e6860161c7f9d771be5d6c392,312950,NONE,none,partial,0.4,SHA-256 NOT in ground truth — carved data differs from original,PDF header OK
D,ZIP,carved_0001.zip,337f764468fcdcff64db431b670c69b32eee24d7ab090b710b0a7cf716485293,480668,zip_0001.zip,sha256,partial,0.5,,ZIP header OK
D,ZIP,carved_0002.zip,5292661fd55859764107fa2490b72976376a46f002604e81c292218e72fc5b13,458352,zip_0002.zip,sha256,partial,0.5,,ZIP header OK
D,ZIP,carved_0003.zip,a924de277f8b203213ae0f334af7b7fa6a017634c177fa1dc827e1362989611a,321715,zip_0003.zip,sha256,partial,0.5,,ZIP header OK
