dataset,format,extension,motor,overall_utility,rvs,fqs,files_recovered,files_correct_checksum,files_missing,false_positives,read_count,mft_entries_parsed,signatures_found,files_carved,result_hash
A,JPEG,.jpg,MFT-First,1.0,1.0,1.0,15,15,0,0,46529,27,{},0,99bf8281fa1df37f
A,JPEG,.jpg,Carving,0.0,0.0,0.0,3,0,15,3,104912,0,"{""JPEG"": 15, ""BMP"": 1}",3,58a3dbab85cd090e
B,PNG,.png,MFT-First,1.0,1.0,1.0,15,15,0,0,46529,27,{},0,99bf8281fa1df37f
B,PNG,.png,Carving,0.8709,0.9331,0.9333333333333333,15,14,1,1,148752,0,"{""PNG"": 15, ""BMP"": 1}",15,15481bf709ef798e
C,PDF,.pdf,MFT-First,1.0,1.0,1.0,15,15,0,0,9793,27,{},0,99bf8281fa1df37f
C,PDF,.pdf,Carving,0.0,0.0,0.0,15,0,15,15,30096,0,"{""PDF"": 15}",15,2fb31fd0355217ea
D,ZIP,.zip,MFT-First,1.0,1.0,1.0,15,15,0,0,9793,27,{},0,99bf8281fa1df37f
D,ZIP,.zip,Carving,1.0,1.0,1.0,15,15,0,0,30096,0,"{""ZIP"": 15, ""DOCX"": 15, ""XLSX"": 15}",15,99bf8281fa1df37f
E,DOCX,.docx,MFT-First,1.0,1.0,1.0,15,15,0,0,9793,27,{},0,99bf8281fa1df37f
E,DOCX,.docx,Carving,1.0,1.0,1.0,15,15,0,0,30096,0,"{""ZIP"": 15, ""DOCX"": 15, ""XLSX"": 15}",15,99bf8281fa1df37f
