format,n_files,gt_name,gt_size,gt_start_offset,stage_1_scan,stage_2_delimitation,stage_3_dedup,stage_4_judge,loss_stage,loss_detail
.zip,15,zip_0001.zip,480668,184320,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0002.zip,458352,667648,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0003.zip,321715,1126400,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0004.zip,306334,1449984,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0005.zip,415176,1757184,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0006.zip,184958,2174976,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0007.zip,373575,2363392,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0008.zip,410962,2740224,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0009.zip,143064,3153920,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0010.zip,475344,3297280,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0011.zip,152499,3776512,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0012.zip,383546,3932160,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0013.zip,96837,4317184,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0014.zip,435963,4415488,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,15,zip_0015.zip,312951,4853760,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0001.zip,480668,200704,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0002.zip,458352,684032,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0003.zip,321715,1142784,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0004.zip,306334,1466368,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0005.zip,415176,1773568,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0006.zip,184958,2191360,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0007.zip,373575,2379776,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0008.zip,410962,2756608,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0009.zip,143064,3170304,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0010.zip,475344,3313664,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0011.zip,152499,3792896,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0012.zip,383546,3948544,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0013.zip,96837,4333568,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0014.zip,435963,4431872,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0015.zip,312951,4870144,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0016.zip,100267,5185536,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0017.zip,113277,5287936,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,30,zip_0018.zip,305957,5402624,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 305957 bytes)
.zip,30,zip_0019.zip,185068,5709824,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 185068 bytes)
.zip,30,zip_0020.zip,178526,5898240,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 178526 bytes)
.zip,30,zip_0021.zip,437432,6078464,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 437432 bytes)
.zip,30,zip_0022.zip,213813,6516736,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 213813 bytes)
.zip,30,zip_0023.zip,74082,6733824,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 74082 bytes)
.zip,30,zip_0024.zip,133144,6811648,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 133144 bytes)
.zip,30,zip_0025.zip,249941,6946816,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 249941 bytes)
.zip,30,zip_0026.zip,313359,7200768,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 313359 bytes)
.zip,30,zip_0027.zip,350272,7516160,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 350272 bytes)
.zip,30,zip_0028.zip,447254,7868416,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 447254 bytes)
.zip,30,zip_0029.zip,454130,8318976,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 454130 bytes)
.zip,30,zip_0030.zip,346402,8773632,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5379072 (overlap: 346402 bytes)
.zip,100,zip_0001.zip,480668,270336,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0002.zip,458352,753664,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0003.zip,321715,1212416,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0004.zip,306334,1536000,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0005.zip,415176,1843200,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0006.zip,184958,2260992,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0007.zip,373575,2449408,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0008.zip,410962,2826240,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0009.zip,143064,3239936,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0010.zip,475344,3383296,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0011.zip,152499,3862528,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0012.zip,383546,4018176,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0013.zip,96837,4403200,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0014.zip,435963,4501504,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0015.zip,312951,4939776,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0016.zip,100267,5255168,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0017.zip,113277,5357568,PASS,PASS,PASS,PASS,NONE,File fully recovered through all stages
.zip,100,zip_0018.zip,305957,5472256,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5448704 (overlap: 305957 bytes)
.zip,100,zip_0019.zip,185068,5779456,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5448704 (overlap: 185068 bytes)
.zip,100,zip_0020.zip,178526,5967872,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5448704 (overlap: 178526 bytes)
.zip,100,zip_0021.zip,437432,6148096,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5448704 (overlap: 437432 bytes)
.zip,100,zip_0022.zip,213813,6586368,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5448704 (overlap: 213813 bytes)
.zip,100,zip_0023.zip,74082,6803456,PASS,PASS,FAIL,N/A,STAGE_3_DEDUP,Eliminated by overlap with BMP at offset 5448704 (overlap: 74082 bytes)
