run,motor,timestamp,overall_utility,rvs,fqs,recovery_rate,read_count,runtime_ms,result_hash,files_recovered,files_correct_checksum,files_missing,integrity_score,read_efficiency,seed
1,MFT-First,2026-07-30T21:58:15.602424,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,66.75139899925853,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
2,MFT-First,2026-07-30T21:58:15.669204,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,64.9723559999984,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
3,MFT-First,2026-07-30T21:58:15.728733,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.827010001346935,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
4,MFT-First,2026-07-30T21:58:15.787989,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.55207599941059,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
5,MFT-First,2026-07-30T21:58:15.848934,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,59.221774001343874,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
6,MFT-First,2026-07-30T21:58:15.907938,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.29571399933775,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
7,MFT-First,2026-07-30T21:58:15.967786,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,58.139225000559236,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
8,MFT-First,2026-07-30T21:58:16.026122,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,56.59294900033274,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
9,MFT-First,2026-07-30T21:58:16.085219,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.403118000365794,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
10,MFT-First,2026-07-30T21:58:16.144810,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.83682699984638,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
11,MFT-First,2026-07-30T21:58:16.203977,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.4065580003662,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
12,MFT-First,2026-07-30T21:58:16.264639,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,58.97091299993917,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
13,MFT-First,2026-07-30T21:58:16.325457,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,59.118605000548996,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
14,MFT-First,2026-07-30T21:58:16.385248,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,58.103039000343415,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
15,MFT-First,2026-07-30T21:58:16.445184,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,58.25952099985443,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
16,MFT-First,2026-07-30T21:58:16.505910,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,59.00024500078871,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
17,MFT-First,2026-07-30T21:58:16.568573,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,60.93959900135815,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
18,MFT-First,2026-07-30T21:58:16.629805,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,59.54046199985896,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
19,MFT-First,2026-07-30T21:58:16.689580,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,58.09152499932679,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
20,MFT-First,2026-07-30T21:58:16.750821,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,59.53524600045057,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
21,MFT-First,2026-07-30T21:58:16.810328,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.77063499954238,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
22,MFT-First,2026-07-30T21:58:16.870826,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,58.811713999602944,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
23,MFT-First,2026-07-30T21:58:16.929719,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.21488899871474,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
24,MFT-First,2026-07-30T21:58:16.988097,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,56.69831600062025,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
25,MFT-First,2026-07-30T21:58:17.047930,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,58.14193799960776,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
26,MFT-First,2026-07-30T21:58:17.107417,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.825631000014255,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
27,MFT-First,2026-07-30T21:58:17.167101,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.95284700070624,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
28,MFT-First,2026-07-30T21:58:17.226600,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.79405199973553,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
29,MFT-First,2026-07-30T21:58:17.286584,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,58.31983999996737,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
30,MFT-First,2026-07-30T21:58:17.346984,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,58.684888999778195,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42
1,Carving,2026-07-30T21:58:17.544752,0.0,0.0,0.0,0.0,19296,195.30847100031679,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
2,Carving,2026-07-30T21:58:17.739999,0.0,0.0,0.0,0.0,19296,193.47640199885063,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
3,Carving,2026-07-30T21:58:17.935372,0.0,0.0,0.0,0.0,19296,193.62912200085702,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
4,Carving,2026-07-30T21:58:18.132437,0.0,0.0,0.0,0.0,19296,195.29985599911015,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
5,Carving,2026-07-30T21:58:18.329854,0.0,0.0,0.0,0.0,19296,195.644772000378,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
6,Carving,2026-07-30T21:58:18.533255,0.0,0.0,0.0,0.0,19296,201.65348800037464,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
7,Carving,2026-07-30T21:58:18.731715,0.0,0.0,0.0,0.0,19296,196.67060199935804,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
8,Carving,2026-07-30T21:58:18.931175,0.0,0.0,0.0,0.0,19296,197.69438000002992,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
