run,motor,timestamp,overall_utility,rvs,fqs,recovery_rate,read_count,runtime_ms,result_hash,files_recovered,files_correct_checksum
1,MFT-First,2026-07-30T21:59:59.343340,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,124.5835250010714,b13216d954cf42a8,30,28
2,MFT-First,2026-07-30T21:59:59.401349,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.92837599942868,b13216d954cf42a8,30,28
3,MFT-First,2026-07-30T21:59:59.459817,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,56.356120001510135,b13216d954cf42a8,30,28
4,MFT-First,2026-07-30T21:59:59.517582,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.73170299976482,b13216d954cf42a8,30,28
5,MFT-First,2026-07-30T21:59:59.575795,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,56.202040999778546,b13216d954cf42a8,30,28
6,MFT-First,2026-07-30T21:59:59.633755,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.9493159998965,b13216d954cf42a8,30,28
7,MFT-First,2026-07-30T21:59:59.691230,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.502896999314544,b13216d954cf42a8,30,28
8,MFT-First,2026-07-30T21:59:59.749951,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,56.66720100089151,b13216d954cf42a8,30,28
9,MFT-First,2026-07-30T21:59:59.807338,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.36157499955152,b13216d954cf42a8,30,28
10,MFT-First,2026-07-30T21:59:59.865970,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,56.61820500063186,b13216d954cf42a8,30,28
11,MFT-First,2026-07-30T21:59:59.923198,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.20810599955439,b13216d954cf42a8,30,28
12,MFT-First,2026-07-30T21:59:59.980912,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.68683000092278,b13216d954cf42a8,30,28
13,MFT-First,2026-07-30T22:00:00.037526,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54.607078000117326,b13216d954cf42a8,30,28
14,MFT-First,2026-07-30T22:00:00.094362,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54.841429000589414,b13216d954cf42a8,30,28
15,MFT-First,2026-07-30T22:00:00.151711,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.30238699975598,b13216d954cf42a8,30,28
16,MFT-First,2026-07-30T22:00:00.209034,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.269958000280894,b13216d954cf42a8,30,28
17,MFT-First,2026-07-30T22:00:00.267236,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,56.165674001022126,b13216d954cf42a8,30,28
18,MFT-First,2026-07-30T22:00:00.325118,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.85636599971622,b13216d954cf42a8,30,28
