run,motor,add_noise,timestamp,overall_utility,rvs,fqs,recovery_rate,read_count,runtime_ns,runtime_ms,files_recovered,files_correct_checksum,files_missing,bytes_recovered,bytes_correct,integrity_score,read_efficiency,sectors_wasted,mft_entries_parsed,rvs_total_value_recovered,rvs_total_value_ground_truth,rvs_n_recovered,rvs_n_ground_truth,per_file_count
1,MFT-First,False,2026-07-30T21:59:34.108636,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,49319236,49.319236,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
2,MFT-First,False,2026-07-30T21:59:34.164782,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54289196,54.289196,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
3,MFT-First,False,2026-07-30T21:59:34.219564,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53020547,53.020547,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
4,MFT-First,False,2026-07-30T21:59:34.274322,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53016950,53.01695,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
5,MFT-First,False,2026-07-30T21:59:34.322138,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46042855,46.042855,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
6,MFT-First,False,2026-07-30T21:59:34.370316,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46451692,46.451692,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
7,MFT-First,False,2026-07-30T21:59:34.417998,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45947708,45.947708,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
8,MFT-First,False,2026-07-30T21:59:34.466388,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46637453,46.637453,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
9,MFT-First,False,2026-07-30T21:59:34.514192,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46017148,46.017148,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
10,MFT-First,False,2026-07-30T21:59:34.562923,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46965751,46.965751,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
11,MFT-First,False,2026-07-30T21:59:34.610657,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45953985,45.953985,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
12,MFT-First,False,2026-07-30T21:59:34.667285,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54864475,54.864475,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
13,MFT-First,False,2026-07-30T21:59:34.722445,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53398991,53.398991,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
14,MFT-First,False,2026-07-30T21:59:34.771343,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,47198259,47.198259,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
15,MFT-First,False,2026-07-30T21:59:34.826531,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,53452509,53.452509,30,28,0,7344892,7343892,0.9533127755316475,0.9999314739943809,1,42,15.3543,15.7888,28,30,28
